iter	MultiClass
0	1.142172523
1	0.9663851061
2	0.8330527025
3	0.7327470552
4	0.6455001867
5	0.5762509183
6	0.5163794011
7	0.4668522135
8	0.4231851747
9	0.3848872195
10	0.3496920257
11	0.3213584713
12	0.2951494434
13	0.2719111091
14	0.2502717408
15	0.2327989029
16	0.2179640936
17	0.2033517975
18	0.1894870602
19	0.1781763016
20	0.1668673741
21	0.1572136409
22	0.1486365303
23	0.1397721185
24	0.1321383109
25	0.1251288022
26	0.1186891565
27	0.1131496135
28	0.108103649
29	0.1035648178
30	0.09898138035
31	0.09587162271
32	0.09213617661
33	0.08906606979
34	0.08623986729
35	0.08348685153
36	0.08145048946
37	0.07964926668
38	0.07739964817
39	0.07580897219
40	0.07403227677
41	0.0717945289
42	0.07086569436
43	0.06950788116
44	0.06768434426
45	0.06598402142
46	0.06463992067
47	0.06366385792
48	0.06243256838
49	0.06110346985
50	0.06010229053
51	0.05929878131
52	0.05848497877
53	0.0579245477
54	0.05688216282
55	0.0559838111
56	0.05509444565
57	0.05369941256
58	0.05304152037
59	0.05239854713
60	0.05170561335
61	0.05140057881
62	0.05078017873
63	0.05040395571
64	0.04940340533
65	0.04901499523
66	0.04856196567
67	0.04826954641
68	0.04748227147
69	0.04680163789
70	0.04624204845
71	0.04559514556
72	0.04522160694
73	0.04478374252
74	0.04453737094
75	0.04434828752
76	0.04378966764
77	0.04348926011
78	0.0431501404
79	0.04263959809
80	0.04228484437
81	0.04201161222
82	0.04163562855
83	0.04137532462
84	0.04110087372
85	0.04083122501
86	0.04021464438
87	0.03978329548
88	0.03937694478
89	0.03902394706
90	0.03868276424
91	0.03839705821
92	0.03822473769
93	0.03789168255
94	0.0375594323
95	0.03725659318
96	0.03713207735
97	0.0370098358
98	0.03684867827
99	0.0366826164
100	0.03647586834
101	0.03621107808
102	0.03593587851
103	0.03570554354
104	0.03550207389
105	0.03535706864
106	0.03513886149
107	0.03485826177
108	0.03463802706
109	0.0343757534
110	0.03428422847
111	0.03414683824
112	0.03386392516
113	0.0337073761
114	0.03355066833
115	0.03329030661
116	0.03317935494
117	0.03289245003
118	0.03276631503
119	0.03258476292
120	0.03248902
121	0.03237433908
122	0.03221142577
123	0.0321022254
124	0.03191242537
125	0.03171223314
126	0.03154209037
127	0.03127301967
128	0.0310281047
129	0.03089344436
130	0.03071120079
131	0.03058886151
132	0.03038086349
133	0.03030189883
134	0.03025532621
135	0.03013009597
136	0.02998872483
137	0.0298235632
138	0.02974088619
139	0.02961803791
140	0.02948503484
141	0.0292677859
142	0.02901009257
143	0.02881203271
144	0.02859897774
145	0.02843940682
146	0.02838093091
147	0.02826734028
148	0.02815381948
149	0.02810426071
150	0.02785981383
151	0.02772418983
152	0.02766580039
153	0.02754763192
154	0.0274446931
155	0.02728879583
156	0.02706555846
157	0.02699663758
158	0.02692842565
159	0.02682139643
160	0.02668815382
161	0.02656836046
162	0.02654267258
163	0.0264631932
164	0.0263428298
165	0.02618613376
166	0.02611133438
167	0.02599026802
168	0.02588470724
169	0.02575176478
170	0.02566270428
171	0.02553570669
172	0.02533613753
173	0.0252335403
174	0.02519682406
175	0.02512866261
176	0.02505820334
177	0.02489905806
178	0.0247318913
179	0.02467865008
180	0.02456228091
181	0.02448586741
182	0.02442598235
183	0.02419170961
184	0.02409581496
185	0.02403752658
186	0.02397612157
187	0.02385902396
188	0.02379260272
189	0.02374679995
190	0.02365811706
191	0.02357871269
192	0.02350624234
193	0.02345922232
194	0.02334094691
195	0.02326940361
196	0.02316381242
197	0.02304419124
198	0.02287556675
199	0.02280082575
