Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight,label
163172.2,6.0,64.0,1.7725508799304728,1.7725508799304728,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,2011.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,444.2,67.7,100.2,80.07154761904762,12.988927652050307,80.7,0.0001121997833251,5.5,12.652344399115858,18.369117646212462,202.73744430272112,0.9,38.5,0
266693.5,6.0,64.0,2.033619937264124,2.033619937264124,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,3323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1233.7,66.0,111.0,79.54442518652658,16.38274719609921,80.5,169465477.41904762,13.5,12.610831346173985,23.221657121587235,270.50768601317907,1.0,244.6,0
263942.0,9.3,82.0,26.901139958759863,26.901139958759863,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,1.4,0.0,739.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,1093.4,55.2,757.2,193.91956349206347,255.74291667502905,162.1,0.007022213935852,5.5,19.139164931818893,361.67510124267847,83374.26764888826,0.9,38.5,0
1462.4,6.0,64.0,10073.426204781816,10073.426204781816,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1195.1,66.0,110.7,76.97032818316875,13.383111821638474,80.7,169461866.9970604,13.5,12.405707832305122,18.978920372264945,182.74419955659025,1.0,244.6,0
157695.6,6.0,64.0,1.2506584511717382,1.2506584511717382,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1888.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,441.2,66.0,100.9,78.0806746031746,14.574138000980977,81.0,9.951591491699218e-05,5.5,12.48882514477986,20.6109436208844,252.7458023274124,0.9,38.5,0
3866.9,6.0,244.7,72.5034333214347,72.5034333214347,0.0,0.0,0.0,0.0,0.6,1.0,0.0,0.0,0.0,1.0,0.0,4.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14537.3,515.8,1514.0,929.5357369535348,432.9746299831942,1045.2,169465658.4977453,13.5,43.19203314221094,608.6289382933358,185458.5082100157,1.0,244.6,0
3867633.0,6.0,55.0,2276.4712597831326,2276.4712597831326,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2570.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8327.0,1514.0,1514.0,1514.0,0.0,1514.0,7.669925689697265e-05,5.5,55.02726596879042,0.0,0.0,0.0,38.5,0
28842.4,6.0,64.0,2.039864106011522,2.039864106011522,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,383.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,409.9,66.0,83.1,73.72749999999999,8.385465753108699,75.3,0.1002300977706909,5.5,12.140888574240831,11.85883939486144,78.14962797619049,0.9,38.5,0
63107.0,6.0,64.0,2.038225789540296,2.038225789540296,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,826.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1214.2,66.0,111.0,78.44048911356961,15.273373361227735,75.2,169463953.909616,13.5,12.522509985680676,21.641113312643814,234.88535645631063,1.0,244.6,0
145237.5,6.0,64.0,1.2507095587377115,1.2507095587377115,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1739.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,442.1,66.0,101.1,78.27357142857143,14.684877185813011,81.1,5.1593780517578126e-05,5.5,12.504290969019737,20.767552477960013,254.8890629251701,0.9,38.5,0
